"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"3871",19,12.30625,2.510107,8,0,0,1,1,1,0,0,0,0,1,0
"3872",28,11.1875,2.414797,8,0,5,1,1,1,0,0,0,0,1,0
"3873",20,5.163462,1.641607,8,0,0,1,0,1,0,0,1,0,0,1
"38741",2,6.7125,1.903971,13,18,18,1,1,1,0,0,0,0,1,0
"38751",36,5.327381,1.67286,5,5,5,1,0,1,0,0,1,0,0,0
"38761",30,8.483854,2.138165,8,5,5,1,1,1,0,0,0,0,1,0
"38771",19,8.614375,2.153432,13,5,5,1,0,1,0,0,0,0,0,1
"38781",25,7.756667,2.048553,8,5,0,1,1,1,0,0,0,0,1,0
"38791",2,9.919583,2.294511,13,5,5,1,0,1,0,0,0,0,0,0
"3883",17,10.44167,2.345804,13,13,8,1,1,1,0,0,0,0,0,1
"38841",12,8.95,2.191653,13,5,5,1,0,1,0,0,1,0,0,1
"38851",10,7.271875,1.984014,13,8,8,0,0,0,1,0,0,0,1,0
"38861",6,7.271875,1.984014,11,8,5,1,0,0,1,0,0,0,1,0
"38891",30,8.390625,2.127115,5,5,5,1,1,0,1,0,0,0,1,0
"3892",19,8.726251,2.166336,8,5,5,1,1,0,1,0,0,0,1,0
"38931",13,8.390625,2.127115,11,8,8,1,0,0,1,0,0,0,0,1
"38961",11,11.1875,2.414797,11,5,8,1,1,1,0,0,0,0,1,0
"3897",8,9.308,2.230874,13,5,5,1,1,1,0,0,0,0,1,0
"38981",4,8.390625,2.127115,13,5,5,1,0,1,0,0,0,0,0,0
"38991",7,10.62813,2.363504,11,5,5,1,1,1,0,0,0,0,1,0
"39001",4,6.836805,1.922321,8,8,5,1,0,1,0,0,0,0,0,0
"3902",5,7.999063,2.079324,8,0,0,1,1,1,0,0,0,0,0,0
"3903",10,8.726251,2.166336,18,13,18,1,0,1,0,0,0,0,0,0
"39041",16,11.1875,2.414797,13,5,0,1,1,1,0,0,0,0,1,0
